SHIPMENTID,VESSEL,IMO,VOYAGE#,ORIGIN_PORT,DESTINATION_PORT,ARRIVAL_TIME,GATEOUT_TIME,EQUIPMENTTYPECODE,HAZMAT,GROSS_WEIGHT,weight_uom
1,BELLAVIA,9290440,003E,NAGOYA,TACOMA,28-08-2019 06:30,29-08-2019 13:11,UCU,N,,
13,BELLAVIA,9290440,003E,TOKYO,TACOMA,28-08-2019 06:30,30-08-2019 14:30,UCU,N,,
1079,SOUTHAMPTON EXPRESS,9447885,002E,HONG KONG,NEW YORK,22-09-2019 10:48,26-09-2019 06:55,UCU,N,,
1080,SOUTHAMPTON EXPRESS,9447885,002E,HONG KONG,NEW YORK,22-09-2019 10:48,25-09-2019 11:47,UCU,N,,
1149,MOL MOTIVATOR,9475624,048E,SHANGHAI,CHARLESTON,24-09-2019 02:25,25-09-2019 16:21,UCU,N,,
1154,MOL MISSION,9475650,052E,TOKYO,SAVANNAH,13-09-2019 08:00,18-09-2019 13:46,UCU,N,,
1155,MOL MISSION,9475650,052E,TOKYO,SAVANNAH,13-09-2019 08:00,19-09-2019 10:40,UCU,N,,
1164,MOL MISSION,9475650,052E,TOKYO,SAVANNAH,13-09-2019 08:00,18-09-2019 15:00,UCU,N,,
1165,MOL MISSION,9475650,052E,TOKYO,SAVANNAH,13-09-2019 08:00,16-09-2019 14:24,UCU,N,,
1166,MOL MISSION,9475650,052E,TOKYO,SAVANNAH,13-09-2019 08:00,16-09-2019 15:58,UCU,N,,
1167,MOL MISSION,9475650,052E,TOKYO,SAVANNAH,13-09-2019 08:00,17-09-2019 16:02,UCU,N,,
1168,MOL MISSION,9475650,052E,TOKYO,SAVANNAH,13-09-2019 08:00,16-09-2019 17:00,UCU,N,,
1169,MOL MISSION,9475650,052E,TOKYO,SAVANNAH,13-09-2019 08:00,16-09-2019 13:45,UCU,N,,
1200,HANOI BRIDGE,9588093,032E,SHANGHAI,SAVANNAH,20-09-2019 12:00,24-09-2019 09:33,UCU,N,,
1236,HANOI BRIDGE,9588093,032E,SHANGHAI,SAVANNAH,20-09-2019 12:00,23-09-2019 16:31,UCU,N,,
1237,HANOI BRIDGE,9588093,032E,SHANGHAI,SAVANNAH,20-09-2019 12:00,27-09-2019 10:52,UCU,N,,
1254,MOL PARADISE,9307047,307E,HO CHI MINH,NEW YORK,24-09-2019 12:06,25-09-2019 12:12,UCU,N,,
1255,MOL MAESTRO,9415727,049E,SHANGHAI,SAVANNAH,24-09-2019 05:30,30-09-2019 14:16,UCU,N,,
1256,MOL MAESTRO,9415727,049E,SHANGHAI,SAVANNAH,24-09-2019 05:30,27-09-2019 15:27,UCU,N,,
1257,MOL MAESTRO,9415727,049E,SHANGHAI,SAVANNAH,24-09-2019 05:30,30-09-2019 10:12,UCU,N,,
1258,MOL MAESTRO,9415727,049E,SHANGHAI,SAVANNAH,24-09-2019 05:30,01-10-2019 08:08,UCU,N,,
1397,MOL MAESTRO,9415727,049E,TOKYO,SAVANNAH,24-09-2019 05:30,27-09-2019 14:34,UCU,N,,
1398,MOL MAESTRO,9415727,049E,TOKYO,SAVANNAH,24-09-2019 05:30,30-09-2019 10:13,UCU,N,,
1399,MOL MAESTRO,9415727,049E,TOKYO,SAVANNAH,24-09-2019 05:30,30-09-2019 10:46,UCU,N,,
1413,MOL MAESTRO,9415727,049E,TOKYO,NORFOLK,29-09-2019 17:45,01-10-2019 07:29,UCU,N,,
1414,MOL MAESTRO,9415727,049E,PUSAN,SAVANNAH,24-09-2019 05:30,30-09-2019 16:25,UCU,N,,
1442,MOL MOTIVATOR,9475624,048E,TOKYO,SAVANNAH,20-09-2019 12:40,24-09-2019 10:29,UCU,N,,
1443,MOL MOTIVATOR,9475624,048E,TOKYO,SAVANNAH,20-09-2019 12:40,23-09-2019 12:36,UCU,N,,
1444,MOL MOTIVATOR,9475624,048E,TOKYO,SAVANNAH,20-09-2019 12:40,23-09-2019 11:46,UCU,N,,
1445,MOL MOTIVATOR,9475624,048E,TOKYO,SAVANNAH,20-09-2019 12:40,24-09-2019 13:52,UCU,N,,
1446,MOL MOTIVATOR,9475624,048E,TOKYO,SAVANNAH,20-09-2019 12:40,24-09-2019 15:14,UCU,N,,
1447,MOL MOTIVATOR,9475624,048E,TOKYO,SAVANNAH,20-09-2019 12:40,24-09-2019 10:22,UCU,N,,
1448,MOL MOTIVATOR,9475624,048E,TOKYO,SAVANNAH,20-09-2019 12:40,24-09-2019 10:10,UCU,N,,
1461,MOL MAESTRO,9415727,049E,TOKYO,SAVANNAH,24-09-2019 05:30,28-09-2019 10:28,UCU,N,,
1462,MOL MAESTRO,9415727,049E,TOKYO,SAVANNAH,24-09-2019 05:30,30-09-2019 14:46,UCU,N,,
1463,MOL MAESTRO,9415727,049E,TOKYO,SAVANNAH,24-09-2019 05:30,30-09-2019 15:05,UCU,N,,
1464,MOL MAESTRO,9415727,049E,TOKYO,SAVANNAH,24-09-2019 05:30,30-09-2019 14:57,UCU,N,,
1473,MOL MOTIVATOR,9475624,048E,TOKYO,SAVANNAH,20-09-2019 12:40,24-09-2019 11:29,UCU,N,,
1474,MOL MOTIVATOR,9475624,048E,TOKYO,SAVANNAH,20-09-2019 12:40,25-09-2019 13:13,UCU,N,,
1475,MOL MOTIVATOR,9475624,048E,TOKYO,SAVANNAH,20-09-2019 12:40,25-09-2019 16:13,UCU,N,,
1483,MOL MAESTRO,9415727,049E,TOKYO,SAVANNAH,24-09-2019 05:30,25-09-2019 17:06,UCU,N,,
1485,MOL MAESTRO,9415727,049E,TOKYO,SAVANNAH,24-09-2019 05:30,25-09-2019 13:35,UCU,N,,
1486,MOL MAESTRO,9415727,049E,TOKYO,SAVANNAH,24-09-2019 05:30,25-09-2019 15:36,UCU,N,,
1487,MOL MAESTRO,9415727,049E,PUSAN,CHARLESTON,27-09-2019 16:05,28-09-2019 06:44,UCU,N,,
1488,MOL MAESTRO,9415727,049E,PUSAN,CHARLESTON,27-09-2019 16:05,28-09-2019 08:58,UCU,N,,
1489,MOL MAESTRO,9415727,049E,PUSAN,CHARLESTON,27-09-2019 16:05,28-09-2019 09:51,UCU,N,,
1517,SEASPAN GANGES,9630365,015E,PUSAN,NEW YORK,26-09-2019 08:39,02-10-2019 11:22,UCU,N,,
1578,SEASPAN AMAZON,9630391,013E,SHANGHAI,NEW YORK,26-09-2019 17:09,01-10-2019 10:57,UCU,N,,
