,VESSEL,IMO,ORIGIN_PORT,DESTINATION_PORT,ARRIVAL_TIME,GATEOUT_TIME,HAZMAT,IMPORT_DWELL,IMPORT_DWELL_SCALED,RF,Container_Size,IS_WEEKEND,LENGTH,CLUSTER,VESSEL_CATEGORY,Terminal,Departure Time,VTT,AVERAGE_BERTH_TIME,Total_Arrival_in_Window,Terminals_in_Port,UNIQUE_VESSELS_RATIO,ARRIVALS_RATIO
0,BELLAVIA,9290440,NAGOYA,TACOMA,2019-08-28 06:30:00,2019-08-29 13:11:00,0,30.683333333333334,5.581218504752568,0,0,0,294,0,Medium,WUT (WASHINGTON UNITED TERMINALS),2019-08-30 04:18:00,45.8,60.251366120218584,640,2,0.6190476190476191,0.8032786885245902
1,BELLAVIA,9290440,TOKYO,TACOMA,2019-08-28 06:30:00,2019-08-30 14:30:00,0,56.0,7.200192248770178,0,0,0,294,0,Medium,WUT (WASHINGTON UNITED TERMINALS),2019-08-30 04:18:00,45.8,60.251366120218584,640,2,0.6190476190476191,0.8032786885245902
2,BELLAVIA,9290440,TOKYO,TACOMA,2019-08-28 06:30:00,2019-09-03 09:46:00,0,147.26666666666668,10.409747222460236,0,0,0,294,0,Medium,WUT (WASHINGTON UNITED TERMINALS),2019-08-30 04:18:00,45.8,60.251366120218584,640,2,0.6190476190476191,0.8032786885245902
3,BELLAVIA,9290440,TOKYO,TACOMA,2019-08-28 06:30:00,2019-08-29 10:03:00,0,27.55,5.317675276700457,0,0,0,294,0,Medium,WUT (WASHINGTON UNITED TERMINALS),2019-08-30 04:18:00,45.8,60.251366120218584,640,2,0.6190476190476191,0.8032786885245902
4,BELLAVIA,9290440,TOKYO,TACOMA,2019-08-28 06:30:00,2019-08-29 10:38:00,0,28.133333333333333,5.368349653678621,0,0,0,294,0,Medium,WUT (WASHINGTON UNITED TERMINALS),2019-08-30 04:18:00,45.8,60.251366120218584,640,2,0.6190476190476191,0.8032786885245902
5,BELLAVIA,9290440,TOKYO,TACOMA,2019-08-28 06:30:00,2019-08-29 12:20:00,0,29.83333333333333,5.511756651199231,0,0,0,294,0,Medium,WUT (WASHINGTON UNITED TERMINALS),2019-08-30 04:18:00,45.8,60.251366120218584,640,2,0.6190476190476191,0.8032786885245902
6,BELLAVIA,9290440,NAGOYA,TACOMA,2019-08-28 06:30:00,2019-09-04 14:10:00,0,175.66666666666666,11.089235326191746,0,0,0,294,0,Medium,WUT (WASHINGTON UNITED TERMINALS),2019-08-30 04:18:00,45.8,60.251366120218584,640,2,0.6190476190476191,0.8032786885245902
7,BELLAVIA,9290440,NAGOYA,TACOMA,2019-08-28 06:30:00,2019-09-03 15:34:00,0,153.06666666666666,10.555882235985962,0,0,0,294,0,Medium,WUT (WASHINGTON UNITED TERMINALS),2019-08-30 04:18:00,45.8,60.251366120218584,640,2,0.6190476190476191,0.8032786885245902
8,SOUTHAMPTON EXPRESS,9447885,HONG KONG,NEW YORK,2019-09-22 10:48:00,2019-09-26 06:55:00,0,92.11666666666666,8.74940981750547,0,0,1,366,2,Large,GCT BAYONNE TERMINAL,2019-09-24 12:29:00,49.68333333333333,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857143
9,SOUTHAMPTON EXPRESS,9447885,HONG KONG,NEW YORK,2019-09-22 10:48:00,2019-09-25 11:47:00,0,72.98333333333333,7.999180305188025,0,0,1,366,2,Large,GCT BAYONNE TERMINAL,2019-09-24 12:29:00,49.68333333333333,41.09047619047619,3237,3,0.8863636363636364,0.9642857142857143
