,VESSEL,IMO,ORIGIN_PORT,DESTINATION_PORT,ARRIVAL_TIME,GATEOUT_TIME,HAZMAT,IMPORT_DWELL,IMPORT_DWELL_SCALED,RF,Container_Size,IS_WEEKEND
0,BELLAVIA,9290440,NAGOYA,TACOMA,2019-08-28 06:30:00,2019-08-29 13:11:00,0,30.683333333333334,5.5812185047525675,0,0,0
1,BELLAVIA,9290440,TOKYO,TACOMA,2019-08-28 06:30:00,2019-08-30 14:30:00,0,56.0,7.200192248770178,0,0,0
2,SOUTHAMPTON EXPRESS,9447885,HONG KONG,NEW YORK,2019-09-22 10:48:00,2019-09-26 06:55:00,0,92.11666666666666,8.74940981750547,0,0,1
3,SOUTHAMPTON EXPRESS,9447885,HONG KONG,NEW YORK,2019-09-22 10:48:00,2019-09-25 11:47:00,0,72.98333333333333,7.999180305188025,0,0,1
4,MOL MOTIVATOR,9475624,SHANGHAI,CHARLESTON,2019-09-24 02:25:00,2019-09-25 16:21:00,0,37.93333333333333,6.122733744934589,0,0,0
5,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-09-13 08:00:00,2019-09-18 13:46:00,0,125.76666666666667,9.828041588357946,0,0,0
6,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-09-13 08:00:00,2019-09-19 10:40:00,0,146.66666666666666,10.394389931354935,0,0,0
7,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-09-13 08:00:00,2019-09-18 15:00:00,0,127.0,9.863309291162928,0,0,0
8,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-09-13 08:00:00,2019-09-16 14:24:00,0,78.4,8.224955703098843,0,0,0
9,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-09-13 08:00:00,2019-09-16 15:58:00,0,79.96666666666667,8.288113383478967,0,0,0
10,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-09-13 08:00:00,2019-09-17 16:02:00,0,104.03333333333333,9.160259066165345,0,0,0
11,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-09-13 08:00:00,2019-09-16 17:00:00,0,81.0,8.329274791422812,0,0,0
12,MOL MISSION,9475650,TOKYO,SAVANNAH,2019-09-13 08:00:00,2019-09-16 13:45:00,0,77.75,8.19847972630152,0,0,0
13,HANOI BRIDGE,9588093,SHANGHAI,SAVANNAH,2019-09-20 12:00:00,2019-09-24 09:33:00,0,93.55,8.800821371668121,0,0,0
14,HANOI BRIDGE,9588093,SHANGHAI,SAVANNAH,2019-09-20 12:00:00,2019-09-23 16:31:00,0,76.51666666666667,8.147793008067705,0,0,0
15,HANOI BRIDGE,9588093,SHANGHAI,SAVANNAH,2019-09-20 12:00:00,2019-09-27 10:52:00,0,166.86666666666667,10.88791129491708,0,0,0
16,MOL PARADISE,9307047,HO CHI MINH,NEW YORK,2019-09-24 12:06:00,2019-09-25 12:12:00,0,24.1,5.000661580961958,0,0,0
17,MOL MAESTRO,9415727,SHANGHAI,SAVANNAH,2019-09-24 05:30:00,2019-09-30 14:16:00,0,152.76666666666668,10.548424201593553,0,0,0
18,MOL MAESTRO,9415727,SHANGHAI,SAVANNAH,2019-09-24 05:30:00,2019-09-27 15:27:00,0,81.95,8.366777817368176,0,0,0
19,MOL MAESTRO,9415727,SHANGHAI,SAVANNAH,2019-09-24 05:30:00,2019-09-30 10:12:00,0,148.7,10.44624893667484,0,0,0
20,MOL MAESTRO,9415727,SHANGHAI,SAVANNAH,2019-09-24 05:30:00,2019-10-01 08:08:00,0,170.63333333333333,10.975016264135856,0,0,0
21,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-27 14:34:00,0,81.06666666666666,8.331917092195672,0,0,0
22,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-30 10:13:00,0,148.71666666666667,10.446671852226538,0,0,0
23,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-30 10:46:00,0,149.26666666666668,10.460608576662398,0,0,0
24,MOL MAESTRO,9415727,TOKYO,NORFOLK,2019-09-29 17:45:00,2019-10-01 07:29:00,0,37.733333333333334,6.108863919898652,0,0,1
25,MOL MAESTRO,9415727,PUSAN,SAVANNAH,2019-09-24 05:30:00,2019-09-30 16:25:00,0,154.91666666666666,10.601637749397348,0,0,0
26,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-09-20 12:40:00,2019-09-24 10:29:00,0,93.81666666666666,8.810322375438728,0,0,0
27,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-09-20 12:40:00,2019-09-23 12:36:00,0,71.93333333333334,7.954000269306917,0,0,0
28,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-09-20 12:40:00,2019-09-23 11:46:00,0,71.1,7.91779705721894,0,0,0
29,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-09-20 12:40:00,2019-09-24 13:52:00,0,97.2,8.92917804705521,0,0,0
30,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-09-20 12:40:00,2019-09-24 15:14:00,0,98.56666666666666,8.976327639769705,0,0,0
31,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-09-20 12:40:00,2019-09-24 10:22:00,0,93.7,8.80616813026995,0,0,0
32,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-09-20 12:40:00,2019-09-24 10:10:00,0,93.5,8.799037719507425,0,0,0
33,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-28 10:28:00,0,100.96666666666667,9.057977629018437,0,0,0
34,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-30 14:46:00,0,153.26666666666668,10.560848296254585,0,0,0
35,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-30 15:05:00,0,153.58333333333334,10.56870149946577,0,0,0
36,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-30 14:57:00,0,153.45,10.565396338541001,0,0,0
37,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-09-20 12:40:00,2019-09-24 11:29:00,0,94.81666666666666,8.845775450998284,0,0,0
38,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-09-20 12:40:00,2019-09-25 13:13:00,0,120.55,9.675995749215684,0,0,0
39,MOL MOTIVATOR,9475624,TOKYO,SAVANNAH,2019-09-20 12:40:00,2019-09-25 16:13:00,0,123.55,9.764011207626103,0,0,0
40,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-25 17:06:00,0,35.6,5.957448970807464,0,0,0
41,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-25 13:35:00,0,32.083333333333336,5.692606464952173,0,0,0
42,MOL MAESTRO,9415727,TOKYO,SAVANNAH,2019-09-24 05:30:00,2019-09-25 15:36:00,0,34.1,5.846945602233703,0,0,0
43,MOL MAESTRO,9415727,PUSAN,CHARLESTON,2019-09-27 16:05:00,2019-09-28 06:44:00,0,14.65,3.9153234903714758,0,0,0
44,MOL MAESTRO,9415727,PUSAN,CHARLESTON,2019-09-27 16:05:00,2019-09-28 08:58:00,0,16.883333333333333,4.210219530315304,0,0,0
45,MOL MAESTRO,9415727,PUSAN,CHARLESTON,2019-09-27 16:05:00,2019-09-28 09:51:00,0,17.766666666666666,4.3189548466968,0,0,0
46,SEASPAN GANGES,9630365,PUSAN,NEW YORK,2019-09-26 08:39:00,2019-10-02 11:22:00,0,146.71666666666667,10.395671466254663,0,0,0
47,SEASPAN AMAZON,9630391,SHANGHAI,NEW YORK,2019-09-26 17:09:00,2019-10-01 10:57:00,0,113.8,9.47191270853276,0,0,0
48,SEASPAN AMAZON,9630391,SHANGHAI,NEW YORK,2019-09-26 17:09:00,2019-10-02 14:42:00,0,141.55,10.261514608614696,0,0,0
49,ONE HAMMERSMITH,9395147,KOBE,OAKLAND,2019-09-04 18:00:00,2019-09-10 08:28:00,0,134.46666666666667,10.071615299395592,0,0,0
50,ONE HAMMERSMITH,9395147,TOKYO,OAKLAND,2019-09-04 18:00:00,2019-09-12 16:37:00,0,190.61666666666667,11.41489375174761,0,1,0
51,MOL MOTIVATOR,9475624,SHANGHAI,SAVANNAH,2019-09-20 12:40:00,2019-09-25 15:32:00,0,122.86666666666666,9.744102460985712,0,0,0
52,MOL MOTIVATOR,9475624,SHANGHAI,SAVANNAH,2019-09-20 12:40:00,2019-09-23 16:03:00,0,75.38333333333334,8.100684177815305,0,0,0
53,HANOI BRIDGE,9588093,SHANGHAI,NORFOLK,2019-09-27 05:54:00,2019-09-30 15:24:00,0,81.5,8.3490532567542,0,0,0
54,HANOI BRIDGE,9588093,SHANGHAI,NORFOLK,2019-09-27 05:54:00,2019-09-30 16:10:00,0,82.26666666666667,8.379207848460704,0,0,0
55,BELLAVIA,9290440,TOKYO,TACOMA,2019-08-28 06:30:00,2019-09-03 09:46:00,0,147.26666666666668,10.409747222460235,0,0,0
56,BELLAVIA,9290440,TOKYO,TACOMA,2019-08-28 06:30:00,2019-08-29 10:03:00,0,27.55,5.317675276700457,0,0,0
57,BELLAVIA,9290440,TOKYO,TACOMA,2019-08-28 06:30:00,2019-08-29 10:38:00,0,28.133333333333333,5.368349653678621,0,0,0
58,BELLAVIA,9290440,TOKYO,TACOMA,2019-08-28 06:30:00,2019-08-29 12:20:00,0,29.833333333333332,5.511756651199231,0,0,0
59,BELLAVIA,9290440,NAGOYA,TACOMA,2019-08-28 06:30:00,2019-09-04 14:10:00,0,175.66666666666666,11.089235326191746,0,0,0
